Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
baseL2_0	1.0	0.9999999999999996	2.117235655684204e-08	0.9999999999999996	2.117235655684204e-08	NA
Coding_UCSCL2_0	0.013632416112370094	0.06151334610446862	0.013981325048329368	4.512284953556489	1.0255940644037906	0.0008279533547556429
Coding_UCSC.extend.500L2_0	0.06084504707893213	0.12327527145375494	0.021784026590773713	2.0260526924045976	0.35802464845682613	0.004317311099172184
Conserved_LindbladTohL2_0	0.02526589208575044	0.35302507910978737	0.03865261625493414	13.972397171318875	1.529833821966397	3.4216387988533906e-15
Conserved_LindbladToh.extend.500L2_0	0.32011543392820085	0.6435343572183967	0.04265935774597931	2.010319681626897	0.13326242106635644	7.414852883398866e-13
CTCF_HoffmanL2_0	0.02245033222566283	-0.02007255174453125	0.024626115399052656	-0.894087069303431	1.0969154109400086	0.08323687368508735
CTCF_Hoffman.extend.500L2_0	0.06670162631125927	0.08825712561657226	0.027472015458722708	1.323163024612406	0.4118642524625433	0.43326086218243953
DGF_ENCODEL2_0	0.13148248520128383	0.27285003775000455	0.06556540120807917	2.0751816284298554	0.4986626249702114	0.033728971408958856
DGF_ENCODE.extend.500L2_0	0.5155588032461472	0.6580746733223921	0.059610134247645205	1.2764299032019486	0.11562237687014158	0.018809533137402103
DHS_peaks_TrynkaL2_0	0.10792381146015398	0.1517453789530543	0.06385273554349279	1.4060416964524964	0.5916464094401219	0.4941136549193861
DHS_TrynkaL2_0	0.16197219366233984	0.2771161372741533	0.07132205947062653	1.710887103571936	0.4403352072844688	0.11133585095529215
DHS_Trynka.extend.500L2_0	0.47801392313139107	0.7029153253233065	0.0533364308375067	1.470491321086681	0.11157924122399712	4.191253149232868e-05
Enhancer_AnderssonL2_0	0.004116481375517747	-0.008046852257705708	0.010585324994774386	-1.954788938330523	2.5714497477698477	0.24969575341954886
Enhancer_Andersson.extend.500L2_0	0.018142445118474446	0.017799407152961175	0.014845325144535968	0.9810919662000821	0.8182648506082004	0.9815299458669196
Enhancer_HoffmanL2_0	0.0605969409639971	0.06950605431451423	0.03473604732189388	1.1470224933600257	0.5732310372322567	0.7976441082219232
Enhancer_Hoffman.extend.500L2_0	0.1463373146061026	0.26972425582226967	0.032615416519673826	1.8431680022849177	0.22287833152784728	0.0001938051379359202
FetalDHS_TrynkaL2_0	0.0817871155592394	0.26680268316475514	0.05541742052777955	3.262160321224518	0.6775813054275039	0.0012925476430941923
FetalDHS_Trynka.extend.500L2_0	0.273344327839603	0.5102208356413981	0.04734083319692509	1.8665865126010333	0.17319120382371514	1.522783712999913e-06
H3K27ac_HniszL2_0	0.37121455743757215	0.5050841204314633	0.028132460240585525	1.3606258437653116	0.07578490572885632	3.4813819086610404e-06
H3K27ac_Hnisz.extend.500L2_0	0.4009695094527759	0.552504325997363	0.03087423329277695	1.3779210462945042	0.07699895519465466	1.8817104421343099e-06
H3K27ac_PGC2L2_0	0.2555036696722902	0.4056815283827431	0.038555085155339716	1.5877718269294192	0.15089836167437667	0.00015261723281813643
H3K27ac_PGC2.extend.500L2_0	0.31847665864976926	0.5238543850279791	0.034484408586119814	1.6448752861479403	0.10827923381362314	6.000401482406402e-09
