Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
baseL2_0	1.0	0.9999999999999982	0.0	0.9999999999999982	0.0	NA
Coding_UCSCL2_0	0.013632416112370094	0.060990145726436296	0.013985416582626772	4.473905815645817	1.025894197136219	0.0009389563466134673
Coding_UCSC.extend.500L2_0	0.06084504707893213	0.12151647668672733	0.021795838836045522	1.9971465636157417	0.35821878496980286	0.00552901833435208
Conserved_LindbladTohL2_0	0.02526589208575044	0.3525846538020167	0.03867595140786497	13.954965556148672	1.530757405145318	3.64233117755823e-15
Conserved_LindbladToh.extend.500L2_0	0.32011543392820085	0.6438514294456841	0.04249876396384209	2.011310175035467	0.1327607464667705	6.379227991232541e-13
CTCF_HoffmanL2_0	0.02245033222566283	-0.019819261897784494	0.024675131097984995	-0.8828048377444154	1.0990987059772332	0.08563018134763013
CTCF_Hoffman.extend.500L2_0	0.06670162631125927	0.08934274586396349	0.0273005586944048	1.3394387933968919	0.4092937489561098	0.4078467442762812
DGF_ENCODEL2_0	0.13148248520128383	0.2745339629834572	0.0655546893420758	2.087988849337452	0.4985811550619801	0.031703221975032427
DGF_ENCODE.extend.500L2_0	0.5155588032461472	0.662225464659022	0.05806316583809389	1.28448095637085	0.11262181049476203	0.013439228001984112
DHS_peaks_TrynkaL2_0	0.10792381146015398	0.15306704484372896	0.06376455536413499	1.4182879827242025	0.5908293499037253	0.4806281445340975
DHS_TrynkaL2_0	0.16197219366233984	0.2793857440485372	0.0712502617752067	1.7248994270644198	0.4398919355487688	0.1042072368577253
DHS_Trynka.extend.500L2_0	0.47801392313139107	0.7052415658430964	0.05267859221347945	1.47535779130276	0.11020304987852782	2.956075582849617e-05
Enhancer_AnderssonL2_0	0.004116481375517747	-0.006472489853172593	0.010561725780026593	-1.5723355124759968	2.5657168869610643	0.31526115017840023
Enhancer_Andersson.extend.500L2_0	0.018142445118474446	0.020506298867952702	0.014997127635065301	1.1302941105259923	0.8266321070357673	0.8744401699343196
Enhancer_HoffmanL2_0	0.0605969409639971	0.07078855921498689	0.03483435800804384	1.1681870089291309	0.574853407678454	0.7699087780897782
Enhancer_Hoffman.extend.500L2_0	0.1463373146061026	0.27190561958061554	0.03224309475132052	1.8580744105664793	0.22033406064686598	0.0001314480169821172
FetalDHS_TrynkaL2_0	0.0817871155592394	0.26728444977454624	0.055331386018507504	3.2680508164021127	0.6765293731190497	0.0012327630400864437
FetalDHS_Trynka.extend.500L2_0	0.273344327839603	0.5107047566588268	0.047363155134600834	1.868356884136647	0.17327286616458815	1.4816730960344054e-06
H3K27ac_HniszL2_0	0.37121455743757215	0.5061498872002617	0.02774460089060876	1.3634968700961623	0.07474006699016544	2.298979159464427e-06
H3K27ac_Hnisz.extend.500L2_0	0.4009695094527759	0.5541342716047131	0.030352164173728744	1.3819860576455532	0.0756969381915147	1.0844198973721177e-06
H3K27ac_PGC2L2_0	0.2555036696722902	0.40774776316963335	0.038530505281200035	1.595858735385726	0.1508021600261921	0.00012558100386944783
H3K27ac_PGC2.extend.500L2_0	0.31847665864976926	0.5247323252700358	0.03412027314973511	1.6476319724488417	0.10713586764692036	4.032823105734757e-09
H3K4me1_peaks_TrynkaL2_0	0.1649048448464468	0.43373520777507446	0.056814906156546635	2.630215068447215	0.34453145515191225	2.9595595778384155e-06
H3K4me1_TrynkaL2_0	0.409153823945981	0.6570672526039067	0.04325825929788937	1.605917418214468	0.10572615179468688	5.338599351458488e-08
H3K4me1_Trynka.extend.500L2_0	0.5811203827980431	0.7754061324689978	0.03545939786746309	1.3343296078094629	0.061019022765522755	1.0248214494776466e-07
H3K4me3_peaks_TrynkaL2_0	0.03954482676942521	0.1735571652309028	0.041529761531003066	4.388871551843328	1.0501945494198635	0.001466918872646272
H3K4me3_TrynkaL2_0	0.1262888642963558	0.31864540159118354	0.042572831554419384	2.5231472574132443	0.33710677336139344	8.32072910106111e-06
H3K4me3_Trynka.extend.500L2_0	0.2417387289954856	0.3542541459774764	0.03783075547371824	1.4654422460543837	0.15649439223462086	0.0029806669600634015
H3K9ac_peaks_TrynkaL2_0	0.0370092460207822	0.21068615252454895	0.034077144223005146	5.692797751303555	0.9207738034941172	8.012150145790783e-07
H3K9ac_TrynkaL2_0	0.12039034691072659	0.30409255363682275	0.04147756400868564	2.525888174924169	0.3445256623393786	1.4165286573362443e-05
H3K9ac_Trynka.extend.500L2_0	0.2191390969440674	0.43224549865229434	0.030750957774558944	1.9724709313857387	0.14032620469549417	9.589694554553241e-11
Intron_UCSCL2_0	0.3690176692149966	0.5068103267680555	0.023408160227493105	1.3734039560928946	0.06343371112090318	7.518747242007029e-09
Intron_UCSC.extend.500L2_0	0.3778164615303836	0.5192002639523499	0.02081947097742214	1.374212922987201	0.055104721729410035	3.347265618693692e-11
PromoterFlanking_HoffmanL2_0	0.00793167905771344	0.03517149197449246	0.01594405387596419	4.43430599228403	2.0101738559957028	0.08750206520689872
PromoterFlanking_Hoffman.extend.500L2_0	0.03129055943651226	0.08709942380393602	0.02308982363219786	2.7835687623501433	0.7379166128060611	0.01455359915865848
Promoter_UCSCL2_0	0.02881251783419969	0.05046937202502835	0.019952163722206286	1.7516474025439925	0.6924824771309503	0.2814743512213334
Promoter_UCSC.extend.500L2_0	0.03572795156109743	0.06931014345303388	0.01782668548054408	1.939941710190365	0.4989562709762168	0.06498333895440886
Repressed_HoffmanL2_0	0.434135039847117	0.4270634074242835	0.06973883222772008	0.9837109844316556	0.16063857055233088	0.9188787682669971
