Category        Prop._SNPs      Prop._h2        Prop._h2_std_error      Enrichment      Enrichment_std_error    Enrichment_p
baseL2_0        1.0     0.9999999999999996      5.79472915393765e-08    0.9999999999999996      5.79472915393765e-08    NA
Coding_UCSCL2_0 0.013632416112370094    0.06104296891807364     0.01394622038956587     4.477780638069218       1.0230189773118081      0.0008948195263739819
Coding_UCSC.extend.500L2_0      0.06084504707893213     0.12251413659769961     0.021736300331582508    2.013543295295118       0.3572402582478862      0.004665059957212205
Conserved_LindbladTohL2_0       0.02526589208575044     0.3532296319423174      0.03848062791538994     13.980493178055378      1.5230266869180686      2.3290421026442895e-15
Conserved_LindbladToh.extend.500L2_0    0.32011543392820085     0.645779115060864       0.042158966988616264    2.0173320203164797      0.13169926382891042     3.297985050338411e-13
CTCF_HoffmanL2_0        0.02245033222566283     -0.020218801023906254   0.024559785506108805    -0.9006014174166329     1.0939608937294332      0.0813048644930474
CTCF_Hoffman.extend.500L2_0     0.06670162631125927     0.08549498287433038     0.027249931977070083    1.2817525988852656      0.40853474621308117     0.4910343444852796
DGF_ENCODEL2_0  0.13148248520128383     0.28069656787266334     0.06512792818813327     2.134859007592918       0.4953353907817476      0.02431203553049341
DGF_ENCODE.extend.500L2_0       0.5155588032461472      0.6660509951776119      0.05800360952648442     1.2919011196858838      0.11250629251459278     0.011158160663874666
DHS_peaks_TrynkaL2_0    0.10792381146015398     0.156132181006018       0.06382803511224458     1.4466889085330608      0.5914175402877633      0.451928042298127
DHS_TrynkaL2_0  0.16197219366233984     0.2812755815203788      0.07116778071709247     1.7365670931564237      0.43938270580847044     0.09849923733647006
DHS_Trynka.extend.500L2_0       0.47801392313139107     0.7079735391249016      0.0526946824575059      1.4810730501050735      0.11023671049644673     2.3966300125199826e-05
Enhancer_AnderssonL2_0  0.004116481375517747    -0.005876146741881139   0.010444480663295577    -1.427468317196521      2.5372350098345655      0.33791724367411125
Enhancer_Andersson.extend.500L2_0       0.018142445118474446    0.023271470309756348    0.014847085649959941    1.2827085962111588      0.8183618885439625      0.7288995737114239
Enhancer_HoffmanL2_0    0.0605969409639971      0.07234973475597005     0.0348791517912077      1.193950282060537       0.5755926163324103      0.7362310867543637
Enhancer_Hoffman.extend.500L2_0 0.1463373146061026      0.2725545311913664      0.032331067333049884    1.8625087656214259      0.2209352236651034      0.00012676019441323227
FetalDHS_TrynkaL2_0     0.0817871155592394      0.26605487771299036     0.055353463531597945    3.25301700510863        0.6767993118855593      0.0013224545236674519
FetalDHS_Trynka.extend.500L2_0  0.273344327839603       0.5123034075221382      0.04722400180991552     1.8742053715588902      0.1727637891122669      1.182592026027102e-06
H3K27ac_HniszL2_0       0.37121455743757215     0.5046440372344427      0.027626611126478545    1.3594403213007338      0.07442221909932657     2.6188027125553228e-06
H3K27ac_Hnisz.extend.500L2_0    0.4009695094527759      0.5522369716896247      0.030236285447735455    1.3772542766239046      0.0754079418382722      1.2904740949223958e-06
H3K27ac_PGC2L2_0        0.2555036696722902      0.4010846580126871      0.03838525591553226     1.5697804204813164      0.15023367752316555     0.00022586928287756172
H3K27ac_PGC2.extend.500L2_0     0.31847665864976926     0.5240394458967389      0.03407082856963216     1.6454563675670446      0.10698061425939556     4.2850424858308935e-09
H3K4me1_peaks_TrynkaL2_0        0.1649048448464468      0.42775372990840743     0.05688274634270209     2.593942769278341       0.344942845042965       5.097274450342861e-06
H3K4me1_TrynkaL2_0      0.409153823945981       0.6576472161158597      0.043186753055062796    1.6073348888037922      0.10555138563428061     4.746539433180338e-08
H3K4me1_Trynka.extend.500L2_0   0.5811203827980431      0.7742375174478255      0.035540221557404765    1.3323186389022195      0.061158105290132395    1.282777694147466e-07
H3K4me3_peaks_TrynkaL2_0        0.03954482676942521     0.16858623405000805     0.041702175253310145    4.263167848300034       1.054554505864037       0.00225409039069837
H3K4me3_TrynkaL2_0      0.1262888642963558      0.3245023452176965      0.04223409941100136     2.5695246134782157      0.3344245721609524      3.81839091694726e-06
H3K4me3_Trynka.extend.500L2_0   0.2417387289954856      0.35679185742648334     0.037833577948024465    1.4759399907043704      0.15650606795707525     0.002393545269259145
H3K9ac_peaks_TrynkaL2_0 0.0370092460207822      0.1842021967453233      0.034751585487191136    4.977193986656369       0.9389973918322115      3.4230236311614925e-05
H3K9ac_TrynkaL2_0       0.12039034691072659     0.29203937230133564     0.041522903008682464    2.4257706684564377      0.34490226230075627     4.876986096662988e-05
H3K9ac_Trynka.extend.500L2_0    0.2191390969440674      0.4288447215134665      0.03070187847804758     1.9569521253568178      0.14010224056861867     1.5461781845442607e-10
Intron_UCSCL2_0 0.3690176692149966      0.5042544143203269      0.023310181682752996    1.366477695751037       0.06316819932319297     1.1370222864777702e-08
Intron_UCSC.extend.500L2_0      0.3778164615303836      0.5176007075334912      0.020785138706851655    1.3699792365766632      0.055013851494610265    4.728025632252437e-11
PromoterFlanking_HoffmanL2_0    0.00793167905771344     0.03711815891044678     0.01593054664615767     4.679735354943531       2.008470908901117       0.06687679689942166
PromoterFlanking_Hoffman.extend.500L2_0 0.03129055943651226     0.08733945648146585     0.023014775851124842    2.791239851709119       0.7355181967206829      0.013851133267014985
Promoter_UCSCL2_0       0.02881251783419969     0.05042245631113575     0.019954199554045985    1.7500190924406347      0.6925531350252522      0.28251274631160117
Promoter_UCSC.extend.500L2_0    0.03572795156109743     0.06925638996142189     0.01776859140936894     1.9384371881211369      0.4973302591665054      0.06447073857167228
