Category	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p
baseL2_0	1.0	0.9999999999999991	1.9539835802087985e-08	0.9999999999999991	1.9539835802087985e-08	NA
Coding_UCSCL2_0	0.013632416112370094	0.062069386890545045	0.013984341278654111	4.553073085424901	1.025815318677419	0.0007195263062444919
Coding_UCSC.extend.500L2_0	0.06084504707893213	0.12602216750695422	0.02178570840975074	2.0711984550438447	0.3580522894737662	0.0028782551045381946
Conserved_LindbladTohL2_0	0.02526589208575044	0.3514747322163245	0.03868544177890376	13.911035914482936	1.5311330250128685	4.319746640045806e-15
Conserved_LindbladToh.extend.500L2_0	0.32011543392820085	0.6443179626662843	0.04273892751804966	2.012767565623841	0.13351098693865424	7.021498551708994e-13
CTCF_HoffmanL2_0	0.02245033222566283	-0.019771314541719404	0.024607180423283564	-0.8806691296585332	1.0960719946565092	0.0852990391237095
CTCF_Hoffman.extend.500L2_0	0.06670162631125927	0.08895088917200321	0.027645506924026095	1.3335640237153896	0.41446526048735216	0.42144542261397877
DGF_ENCODEL2_0	0.13148248520128383	0.2710464905819869	0.06544137640886044	2.06146461383847	0.4977193449658149	0.03567804083300394
DGF_ENCODE.extend.500L2_0	0.5155588032461472	0.6561083759483775	0.05982912605430682	1.2726159883553119	0.11604714278487868	0.020832380682012732
DHS_peaks_TrynkaL2_0	0.10792381146015398	0.14798626205555399	0.06389695826859415	1.3712104868552688	0.592056168181062	0.5319962536053175
DHS_TrynkaL2_0	0.16197219366233984	0.2711519482194802	0.0714783850773927	1.6740648014235406	0.4413003458260388	0.1316522937916544
DHS_Trynka.extend.500L2_0	0.47801392313139107	0.7001982410474512	0.053489335139510125	1.4648072099251148	0.11189911538373241	5.346443269783416e-05
Enhancer_AnderssonL2_0	0.004116481375517747	-0.008011804813417133	0.010356176269321043	-1.9462750058985643	2.515783584231206	0.2403918145220609
Enhancer_Andersson.extend.500L2_0	0.018142445118474446	0.01637934431616385	0.014997962293819694	0.9028190086398425	0.8266781128937948	0.9062523321338272
Enhancer_HoffmanL2_0	0.0605969409639971	0.06995742504021862	0.03490644024400914	1.1544712311762229	0.5760429435662167	0.7886176955209159
Enhancer_Hoffman.extend.500L2_0	0.1463373146061026	0.27071039891452875	0.03290133028263234	1.8499068377959662	0.22483213096531893	0.00019349219062276263
FetalDHS_TrynkaL2_0	0.0817871155592394	0.2658304930901693	0.05544461631222134	3.250273484674063	0.6779138246055656	0.0013729827074354737
FetalDHS_Trynka.extend.500L2_0	0.273344327839603	0.5117046270278971	0.047306782481476836	1.8720147993272525	0.17306663304620026	1.2901668148701644e-06
H3K27ac_HniszL2_0	0.37121455743757215	0.5053021792477668	0.02822136545308764	1.3612132636601795	0.07602440391318349	3.516726906419106e-06
H3K27ac_Hnisz.extend.500L2_0	0.4009695094527759	0.5516198139154294	0.030983807585990362	1.3757151127731728	0.07727222857487491	2.2611954286239876e-06
H3K27ac_PGC2L2_0	0.2555036696722902	0.40738235313746096	0.038639977970909435	1.5944285796754731	0.1512306184113488	0.000133868924839445
H3K27ac_PGC2.extend.500L2_0	0.31847665864976926	0.5233957475125659	0.03461927994746221	1.6434351884109266	0.10870272281251621	7.318015305897547e-09
H3K4me1_peaks_TrynkaL2_0	0.1649048448464468	0.4344475580868065	0.0571784434764058	2.634534834263649	0.34673598298247826	3.179908467247673e-06
H3K4me1_TrynkaL2_0	0.409153823945981	0.6574398071254197	0.043431063782862864	1.6068279670098329	0.10614849780457362	5.3548211759843924e-08
H3K4me1_Trynka.extend.500L2_0	0.5811203827980431	0.7738277247360377	0.036928029807150944	1.3316134619304278	0.06354626493971138	3.1980639222281624e-07
H3K4me3_peaks_TrynkaL2_0	0.03954482676942521	0.17593089797756742	0.04147059870165274	4.448897930527579	1.0486984541228659	0.0011806727314714104
H3K4me3_TrynkaL2_0	0.1262888642963558	0.3222133794503513	0.04253082540889163	2.551399771037842	0.33677415380889525	5.395507277945626e-06
H3K4me3_Trynka.extend.500L2_0	0.2417387289954856	0.3517741595920263	0.03867049620553065	1.4551832925314816	0.15996814563483872	0.004368104013671491
H3K9ac_peaks_TrynkaL2_0	0.0370092460207822	0.21488914045988522	0.034245505391593115	5.806363640567447	0.9253229685458296	4.915657245322542e-07
H3K9ac_TrynkaL2_0	0.12039034691072659	0.30564332955503004	0.04131833341228463	2.5387694063351662	0.3432030430390199	1.102972744516038e-05
H3K9ac_Trynka.extend.500L2_0	0.2191390969440674	0.4338065185584621	0.031145543117156758	1.9795943517517822	0.14212682059699405	9.630348036679058e-11
Intron_UCSCL2_0	0.3690176692149966	0.506348128046219	0.024111930858076485	1.3721514450063124	0.06534085728027408	1.7989191506231945e-08
Intron_UCSC.extend.500L2_0	0.3778164615303836	0.5197255619341385	0.021331832048319045	1.3756032752753489	0.05646083275967466	5.998474543090278e-11
PromoterFlanking_HoffmanL2_0	0.00793167905771344	0.035338664238288194	0.01586699293185528	4.455382521298799	2.000458265696576	0.08402625899509661
PromoterFlanking_Hoffman.extend.500L2_0	0.03129055943651226	0.08708423341613554	0.023096600608110043	2.7830833000230375	0.7381331949328823	0.014585632479642778
Promoter_UCSCL2_0	0.02881251783419969	0.05171585062282855	0.020007042614808315	1.7949091058416011	0.694387166367685	0.25636791012228977
Promoter_UCSC.extend.500L2_0	0.03572795156109743	0.07144124236408973	0.017790851650782518	1.9995896557886879	0.4979533075205515	0.04954824542807525
Repressed_HoffmanL2_0	0.434135039847117	0.4252858148540849	0.07061819009556289	0.9796164230462752	0.16266411050449064	0.899833976736248
Repressed_Hoffman.extend.500L2_0	0.6791952705841263	0.602830740011679	0.046091286619472434	0.8875661626636892	0.06786161302305989	0.10026139394221929
SuperEnhancer_HniszL2_0	0.15905950503920463	0.23762975761614769	0.019455993150122405	1.4939676667394208	0.12231895946945727	0.0001224565213610072
SuperEnhancer_Hnisz.extend.500L2_0	0.16202184843584946	0.239842005676275	0.01869895835963494	1.48030656353879	0.11541010388508537	7.211971235048363e-05
